,device_name,assetnum,location,gmtoolno,description,gmassettype,gmstation,gmmaintainer,gmmecenter,status,siteid,manufacturer,zone,sub_zone,station_number,item,item_number,process,process_number,plant_group,plant_group_number,provided_by
194,AD002R01B05,9.00001E+11,BS.AD.STA.002,F344351_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F344351,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
195,AD002R02B05,9.00001E+11,BS.AD.STA.002,F347420_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F347420,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
196,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F215404,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F215404,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
197,AD004R01B05,9.00001E+11,BS.AD.STA.004,F346386_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F346386,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
198,AD003R01B05,9.00001E+11,BS.AD.STA.003,F347931_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F347931,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
199,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F215778,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F215778,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
200,AD002R02B05,9.00001E+11,BS.AD.STA.002,F344623_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F344623,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
201,AD002R02B05,9.00001E+11,BS.AD.STA.002,F347385_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F347385,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
202,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F210692,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F210692,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
203,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F213906,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F213906,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
204,AD004R01B05,9.00001E+11,BS.AD.STA.004,F348713_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F348713,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
205,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F215283,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F215283,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
206,AD002R02B05,9.00001E+11,BS.AD.STA.002,F343802_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F343802,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
207,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F216719,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F216719,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
208,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F214355,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F214355,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
209,AD002R01B05,9.00001E+11,BS.AD.STA.002,F347046_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F347046,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
210,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F213425,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F213425,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
211,AD002R01B05,9.00001E+11,BS.AD.STA.002,F346554_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F346554,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
212,AD002R02B05,9.00001E+11,BS.AD.STA.002,F348530_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F348530,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
213,AD002R02B05,9.00001E+11,BS.AD.STA.002,F346657_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F346657,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
214,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F215306,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F215306,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
215,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F210397,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F210397,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
216,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F210499,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F210499,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
217,AD004R01B05,9.00001E+11,BS.AD.STA.004,F344920_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F344920,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
218,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F216791,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F216791,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
219,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F213143,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F213143,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
220,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F213952,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F213952,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
221,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F216038,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F216038,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
