,id,name,description_box,equipment_catalog_id,location_address,plant_id,host_name,device_name_box,data_source,equipment_type,plc,program,equipment_name
477,9455b08b-ff97-495c-b51d-604464fe7338,AD002R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
478,5ff50162-20cf-46e7-a923-a3083fa12116,AB030R02B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R02,AB030R02B05,DCDL,Robot,,,
479,0750c76d-0830-4fa9-9881-d6ddb1a71613,AB010R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R01,AB010R01B05,DCDL,Robot,,,
480,5ae16e0e-eaa0-49dd-89bc-4e123c6c7c65,AB040R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB040-R01,AB040R01B05,DCDL,Robot,,,
481,6f4ad0a2-5112-45b0-b07f-9fe20694ffd5,AB030R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R01,AB030R01B05,DCDL,Robot,,,
482,f3ed01c5-473b-4270-a294-c4aa1ce2caab,AB010R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R01,AB010R01B05,DCDL,Robot,,,
483,cec87d4f-30dd-4652-bd97-a855bf46297f,AD002R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R02,AD002R02B05,DCDL,Robot,,,
484,6563a607-9ae5-4295-9e10-87234b5fe3bb,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
485,6e9c4bf6-18fa-4330-a6c9-c0e620b57726,AB010R02B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
486,8c8ad8e6-78b1-4c26-9547-8127421bd685,AB030R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R01,AB030R01B05,DCDL,Robot,,,
487,c8ff076c-e9e0-4f7e-8448-3f49e1e69371,AB010R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
488,b7c18ed3-14fb-4e6b-ac11-8c32c0dc9230,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
489,9bf6b604-5d7b-4971-9ed4-ec4dfecafe79,AB020R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB020-R01,AB020R01B05,DCDL,Robot,,,
490,b58c385f-2cd4-4705-9f21-a87ad21e7888,AB020R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB020-R01,AB020R01B05,DCDL,Robot,,,
491,a53e19c4-a24f-458e-ad7e-8cc3cafcc37c,AB010R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
492,f29c2ef3-c051-45f4-9637-e1b9f2e8a084,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
493,02b68c68-bfe6-4b90-8ca3-024bd139fdf9,AD003R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD003-R01,AD003R01B05,DCDL,Robot,,,
494,c14de28d-928f-4b78-b24e-2678ddd79b3d,AB010R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
495,b2a2af19-8c89-4f1e-b500-52d912dd5cf7,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
496,443c19cd-d900-494a-b9c7-2a5fb75a4d17,AB010R02B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
497,cb5128fc-06d3-4bf4-a386-1415128ae8b3,AB010R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R01,AB010R01B05,DCDL,Robot,,,
498,2119419d-8baf-4c76-97ba-156abfb191b3,AB010R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R01,AB010R01B05,DCDL,Robot,,,
499,8ad21c8a-574c-47f4-85c4-75581c0422fa,AB030R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R01,AB030R01B05,DCDL,Robot,,,
500,50b62763-fbb1-48ad-99ae-c7d0ea25060d,AB030R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R02,AB030R02B05,DCDL,Robot,,,
501,9a6badc0-ae75-4c3e-b043-6e40c1d358bb,AB030R02B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R02,AB030R02B05,DCDL,Robot,,,
